"Pressure (Decibar)","Depth (Meter)","Temperature (Celsius)","Conductivity (MicroSiemens per Centimeter)","Specific conductance (MicroSiemens per Centimeter)","Salinity (Practical Salinity Scale)","Sound velocity (Meters per Second)","Density (Kilograms per Cubic Meter)"
0.15,0.149926023122103,14.0472516124319,33198.8102242831,42511.0716546734,26.9581018166799,1494.20908319308,1019.97435887253
0.45,0.449786810413853,14.048263948591,33194.6614557702,42504.6571845968,26.9535675738641,1494.21208905689,1019.97202028349
0.75,0.749645199892468,14.0477580332607,33192.078959629,42501.9010455813,26.9515010844155,1494.21294135914,1019.97187914309
1.05,1.04950458214942,14.0494879977647,33183.0733077518,42488.4870573096,26.9421027082623,1494.21264369078,1019.96565415904
1.35,1.34936511053723,14.0628508045658,33193.680653441,42487.5296730279,26.9422043360413,1494.26204006938,1019.96446977823
1.65,1.64922520320025,14.0528610027194,33187.8072436141,42490.8782499995,26.9438020909383,1494.23571347374,1019.96900607721
1.95,1.94908167858989,14.0442111164152,33206.3646449846,42524.0563139766,26.9664171363869,1494.23838962031,1019.98946605005
2.25,2.24893609206304,14.0416554278532,33193.079071711,42509.825349299,26.9561645410391,1494.22287163591,1019.98342112207
2.55,2.54878512737621,14.0035420314826,33212.9694006303,42576.8631138958,27.0006010318888,1494.15322613165,1020.02644398436
2.85,2.84861761935006,13.9502346852986,33255.4380828528,42689.650462369,27.0761236497172,1494.06933834258,1020.09636818735
3.15,3.14841386287535,13.7701644527844,33317.142192192,42967.5017664249,27.2588935902694,1493.68827769397,1020.2735160259
3.45,3.44814501828054,13.5935588257031,33508.1789741471,43411.6209980495,27.5584128021884,1493.4537807271,1020.5398510072
3.75,3.74781293378296,13.4994870921673,33640.3537500689,43689.353145841,27.7467872840352,1493.36442838618,1020.70456115362
4.05,4.04740004348382,13.1279762495322,33787.4133838034,44307.9028935059,28.1539476899538,1492.59627317276,1021.09087016846
4.35,4.34689988024033,12.9567701595936,33895.2234231798,44649.7729926222,28.3810357178615,1492.28861773839,1021.2998667584
4.65,4.64634414480309,12.8446005805591,34010.7937195178,44934.8033771947,28.5726255525549,1492.13844112147,1021.4702864909
4.95,4.94573304328953,12.6937304176854,34135.3581630506,45279.8884387346,28.8032144561531,1491.90168635131,1021.67803142242
5.25,5.24505266350094,12.5119838693278,34304.4524026741,45724.6576483036,29.1012309918003,1491.63785870701,1021.9435793142
5.55,5.54431055191347,12.4134020476492,34411.1123974289,45987.6815714372,29.2780719705386,1491.51435099316,1022.09996101827
5.85,5.84353324502132,12.3615646677774,34469.0000284105,46128.9567700284,29.3730717901938,1491.45395430369,1022.18438442902
6.15,6.14272498281335,12.2348720493002,34504.5111839892,46333.5970891805,29.5059916297488,1491.1806391501,1022.31186184755
6.45,6.44189144156769,12.1939235281915,34520.7355964372,46406.4184708449,29.5535476230376,1491.10088810014,1022.3575222189
6.75,6.74104387556651,12.1378968525923,34527.2924386344,46485.2554463169,29.6039319812881,1490.97230678467,1022.40810803978
7.153275834634,7.14316766362434,12.1430681344401,34550.1976159161,46509.6172061781,29.6214641768761,1491.0176813058,1022.42257337331
0.15,0.151670305993291,9.61985674863341,13006.6765446345,18784.9947489282,10.902173496083,1459.17189772243,1008.24599645359
0.45,0.454916141619776,9.71676462217979,14000.3952362617,20163.7384540683,11.775207720756,1460.61350130849,1008.91537782929
0.75,0.757949668653867,9.87366348096467,15112.9862119509,21668.1941376766,12.7376812725225,1462.39094088328,1009.64654246662
1.05,1.06084397271556,9.99264221867789,15454.5568317917,22082.5805825297,13.0075531032724,1463.17913243976,1009.84332918461
1.35,1.36364916861451,9.94799941536232,15986.6359912593,22872.0331044642,13.5110826594748,1463.62249042402,1010.241270399
1.65,1.6663517699028,10.0073266588683,16421.7236200483,23454.6953271684,13.8882219238769,1464.31055221495,1010.52833846244
1.95,1.96894904046989,10.143643718857,17085.4187525039,24307.9785482465,14.44506513675,1465.50777822848,1010.94510514102
2.25,2.27136073020743,10.3562241514394,18371.111906315,25980.025225017,15.5408003152156,1467.63904985418,1011.76948635822
2.55,2.57354911495516,10.5571481958378,19440.2832898874,27336.6738845539,16.4381922551822,1469.47855682377,1012.44007638986
2.85,2.87545925607411,10.7110612404899,21214.4249454202,29702.8766557164,18.0062526060364,1471.94113234281,1013.63588376492
3.15,3.17700937047411,11.0137624504623,23141.3749494929,32128.5161211973,19.6398856273852,1475.02084086027,1014.85946059803
3.45,3.47808280900256,11.3446220029687,26166.7149702264,35998.0562847635,22.272082248701,1479.37656240765,1016.84909658775
3.75,3.77870187221356,11.5084695354747,27798.8739016824,38071.8149177285,23.6990157195305,1481.67352587857,1017.92932034182
4.05,4.07902000766604,11.6291366294859,29226.0866330845,39894.5884647987,24.9611100404153,1483.61417045274,1018.88826600996
4.35,4.37912223205131,11.7808473715731,30063.8229101209,40868.8557476742,25.6463730760178,1484.97302676681,1019.39478460331
4.65,4.67893708571805,11.8593833888145,32119.855928415,43570.7993126143,27.5322001598346,1487.50136418687,1020.84323458659
4.95,4.97845283141064,11.9146888114526,32975.4376778139,44664.3852887952,28.3026273063421,1488.61779802368,1021.43176997604
5.25,5.27782087616537,11.9637354380804,33594.3257694067,45442.2765600653,28.8533593012811,1489.44989431874,1021.85114672183
5.55,5.57711393798382,11.9926463084658,33749.0878883098,45615.9416210598,28.9780897823486,1489.70396177999,1021.94398658356
5.85,5.87638793885828,12.0067258211639,33813.4488276659,45685.5450966811,29.0282671634294,1489.81758688695,1021.98170204318
6.15,6.17564598074582,12.0116936117903,33914.2302396217,45815.561151217,29.1201666648203,1489.94925134989,1022.05337626427
6.45,6.47488051439055,12.0162788140802,34038.4804444026,45977.7178243199,29.2347209018576,1490.10657190397,1022.1426737283
6.75,6.77408799722074,12.0194656140038,34170.1491092076,46151.5969267282,29.3574738046638,1490.2688069136,1022.23857732334
7.05,7.07327447154344,12.0232019509592,34237.5111034682,46237.9120379958,29.4185797392667,1490.35950233523,1022.28661273349
7.35,7.37244970848934,12.0252289456583,34277.4490607589,46289.3141202013,29.4549135527846,1490.4147554266,1022.31575992054
7.65,7.67161363596369,12.0267015278037,34343.0478361491,46376.0562230483,29.5161378449731,1490.49774104339,1022.36429532714
7.95,7.97076680250218,12.028557056883,34377.7219733267,46420.5530889522,29.5475990560078,1490.54659353308,1022.38969749865
8.25,8.26990509734282,12.0316403310849,34483.0856727739,46558.9498122072,29.6454699957343,1490.67882389368,1022.46634165744
8.67092940920875,8.68960235775519,12.0347160533208,34533.1640874538,46622.6932018793,29.6906113520079,1490.75019155265,1022.50267135237
0.15,0.149942202342467,16.7005596805448,35964.5450454032,43122.376918819,27.5377567574838,1503.38110650508,1019.86492261967
0.45,0.449841599630874,16.6954173075706,35864.8569366317,43008.1520375138,27.4565397095857,1503.27733542342,1019.80523560362
0.75,0.749757000913771,16.6709038202593,35737.9059085597,42881.1264362172,27.3653897567608,1503.10223606203,1019.7422403293
1.05,1.04968999272168,16.6317496386645,35604.7536331896,42761.5389002562,27.278858394281,1502.88694551525,1019.68600741576
1.35,1.34961798505632,16.5208607174943,35615.6169591322,42888.823044227,27.363521380779,1502.64450868751,1019.77662537645
1.65,1.64951915017483,16.417869990698,35637.5622122014,43021.9639737693,27.4526233368606,1502.4309571316,1019.8688318313
1.95,1.94941974279953,16.4098418527661,35492.0596166621,42854.6186470056,27.3337758981601,1502.27473550302,1019.78090621173
2.25,2.24933777448144,16.3605829089586,35387.9794999691,42779.8365147124,27.2784114749095,1502.06255520574,1019.75061878832
2.55,2.54925076788203,16.296482570845,35412.5998051727,42876.0485162648,27.343172364728,1501.94146148096,1019.81555776266
2.85,2.84913699095978,16.1670503161852,35443.0548181271,43047.8435373743,27.4580571472521,1501.67288059714,1019.93307926732
3.15,3.14895602441551,15.7620061910074,35496.9004460556,43541.6503786885,27.7859744873632,1500.77845040066,1020.27310325691
3.45,3.44869457611052,15.44465918289,35448.5070432721,43823.4710830107,27.9675733350658,1499.98415115722,1020.48123918784
3.75,3.748381902352,15.2260578586815,35410.3252933283,44014.162931064,28.0896769509909,1499.43091886712,1020.62230443323
4.05,4.04798809185933,14.6622296437638,35382.1255098924,44604.3072057292,28.4722777998728,1498.05903946835,1021.03445343401
4.35,4.34752223085192,14.54719017062,35367.0812140184,44715.0367212345,28.5430264644627,1497.77183421119,1021.11371551723
4.65,4.64703702279628,14.505229753081,35395.3469402174,44798.3053907653,28.5990932699254,1497.70524830319,1021.16675146259
4.95,4.94653767734281,14.4593885613472,35405.7289641465,44863.5042951838,28.6420893468763,1497.61065220372,1021.21050531423
5.25,5.24603313192748,14.4475656103518,35379.2613720803,44843.4026595498,28.6269568789837,1497.55933990666,1021.20259925755
5.55,5.54553130092202,14.420654952894,35332.6489987497,44814.8934118049,28.6048567210976,1497.45056023813,1021.19238274638
5.85,5.84502866668808,14.4102751474724,35342.5119994107,44839.2099105623,28.6212672405859,1497.44070342967,1021.20846503873
6.15,6.1445237660873,14.3844869485594,35311.6142087402,44829.343917646,28.6124343144625,1497.35097796821,1021.20822621523
6.45,6.44401504696375,14.3703038275566,35332.5214607934,44872.0457118533,28.6415972432737,1497.34352093203,1021.23489440596
6.75,6.74350806390501,14.3560132131896,35259.7322595539,44795.8639364125,28.5865974268908,1497.23750983772,1021.19677537861
7.05,7.04302566140119,14.3569403007099,35072.3831398466,44556.7959194404,28.4174265313824,1497.04814077132,1021.06767362442
7.35,7.34256888757499,14.3344103384517,34980.2185755574,44465.162022986,28.3510161660533,1496.90174699049,1021.02242198308
7.63243059678511,7.62457088728237,14.321684343019,35015.4354714239,44524.333146528,28.3918914394139,1496.91235907437,1021.05772419831
0.15,0.149932455434749,16.6994285638009,36066.0374579314,43245.2418415635,27.6247376535376,1503.477034801,1019.93175436314
0.45,0.449799873190253,16.6756883226022,36071.9972322459,43277.0263480962,27.6460359589509,1503.43293417189,1019.95467028157
0.75,0.749657624404022,16.6547951210693,36091.7397796839,43322.4310367913,27.6771178050184,1503.40879746176,1019.98444109125
1.05,1.0495030594035,16.6328462257485,36148.0382980844,43412.8837866098,27.7400758632132,1503.41782964523,1020.03884970706
1.35,1.34933569972321,16.6138996517057,36174.9300056575,43464.9603959608,27.7759818834675,1503.4052016557,1020.07188105052
1.65,1.64915679742215,16.5987339028725,36225.8584763321,43542.0204866266,27.8297862146609,1503.42475146898,1020.11777866538
1.95,1.94896376977342,16.5462974634901,36240.9341512067,43615.1189923174,27.8789660874954,1503.32345937542,1020.16839193646
2.25,2.24873954621032,16.3793520621431,36293.8904832562,43855.0734539661,28.0407518622045,1502.9949409171,1020.33049822966
2.55,2.54843975028712,15.9789594383462,36364.8458127306,44370.1430089292,28.3851985387804,1502.14290590608,1020.68335861829
2.85,2.84804678672562,15.554197855308,36297.3691579376,44751.6793297723,28.6320967743706,1501.09052538416,1020.96554891617
3.15,3.14760135896421,15.3655643447259,36192.1136467969,44830.4318722175,28.6767739286019,1500.54669314664,1021.04128554721
3.45,3.44709060916655,14.8510615914929,36148.0297436811,45353.9106614386,29.0162595415735,1499.29355606602,1021.41138547662
3.75,3.74649982953766,14.6268516641561,36147.7392173575,45610.1578845013,29.1833040679368,1498.7667273803,1021.5875530467
4.05,4.04587446512843,14.5765547134722,36176.0484148664,45703.8879164384,29.2463726100139,1498.6817329636,1021.64777414292
4.35,4.34523673961776,14.5687987087852,36200.9169376461,45744.2708888818,29.2744278326088,1498.69415934725,1021.67230790044
4.65,4.64459478280545,14.5450254436525,36178.9475883882,45743.9933120531,29.2725021743698,1498.61956296687,1021.67704364312
4.95,4.94394866834514,14.5121314493868,36174.5264213323,45776.4806584405,29.2932210202879,1498.54162105153,1021.70107602934
5.25,5.24329513250814,14.4983068103682,36196.0316317214,45819.7256473536,29.3228867151362,1498.53614520997,1021.72809129347
5.55,5.54263838183366,14.4982180145993,36187.3468691018,45808.8347880988,29.3150371743856,1498.53166107351,1021.72340970696
5.85,5.84197858477536,14.456845580154,36175.9122434018,45842.3775538681,29.3359015304643,1498.42614926055,1021.74927615249
6.15,6.14131140815841,14.4405331416738,36191.4916260721,45881.0882399448,29.3621649271123,1498.40855201736,1021.77417646122
6.45,6.44064009522971,14.4418999129396,36196.594122077,45885.9667028895,29.3656199395517,1498.4219937624,1021.77790290112
6.75,6.7399660665132,14.4360904287545,36210.0961309523,45909.8451916395,29.3820754298929,1498.42719878207,1021.79310610921
7.05,7.03928927947785,14.4335610312714,36211.1947423499,45914.1829895021,29.3848750921947,1498.42717109129,1021.79712305703
7.35,7.33860573318438,14.3986943879026,36231.0465251893,45980.009094304,29.429105427583,1498.3699773095,1021.83964434306
7.65,7.63791236722894,14.3733269734707,36236.2858855792,46016.2864951631,29.4529954594339,1498.3199963395,1021.86455853917
7.95,7.93721149018383,14.3400382457075,36235.1662550538,46053.8015097222,29.477197492407,1498.24445268802,1021.8913207508
8.25,8.23650480731272,14.3242714668524,36234.5284071813,46071.4554339861,29.4885185432435,1498.21108786008,1021.90459237471
8.55,8.53579344121916,14.2838964182491,36214.3331605777,46093.1023427637,29.5009200175275,1498.09845928378,1021.92369026684
8.85,8.83507305065279,14.2333154937602,36216.7157694009,46155.5635989533,29.541573877966,1497.98528099488,1021.96661108592
9.15,9.13434716156818,14.2287138286993,36202.5529851406,46142.926254512,29.5321547478281,1497.96414938841,1021.96162990888
9.45,9.43361920631657,14.2137730500558,36211.7160956815,46172.1906349815,29.5517662748166,1497.94305557397,1021.98111094435
9.75,9.73288702898095,14.190243364122,36197.1930356236,46181.3833347632,29.5564898803665,1497.87637733187,1021.99085426408
10.0212520182818,10.0034778039557,14.1830149558777,36165.6108966813,46149.6019862253,29.5332864526859,1497.8300177938,1021.97564967719
0.15,0.150501827165229,15.645215177955,29010.3624704085,35687.3033435718,22.299890178975,1494.0388802264,1016.07899080179
0.535066764503036,0.535760777629072,14.4108200130491,36379.8242574708,46154.6147040652,29.5565026204453,1498.44561816522,1021.90475396944
0.15,0.149798681155052,15.9504427676386,36588.8140136807,44674.5035472428,28.6006296330043,1502.26144869094,1020.84408110463
0.45,0.449379287294498,15.8390626181085,36698.2014512691,44930.2690838412,28.7761388126434,1502.11800644797,1021.00420821871
0.75,0.748886532578748,15.5660759387761,36864.5008562742,45437.5977995895,29.1211585017167,1501.658286824,1021.32918540994
1.05,1.04833753644111,15.5223722558386,36899.3832792609,45529.6435340658,29.1839693518185,1501.59721973447,1021.38812638122
1.35,1.34778029030177,15.5218470837209,36893.5331223038,45523.0150862561,29.1791163448022,1501.59490918302,1021.38585108068
1.65,1.64722271794605,15.4994996305325,36873.0067967686,45522.7930383738,29.1775135440717,1501.52709617418,1021.3907400605
1.95,1.94665159596322,15.3659807881933,36846.5750514632,45640.6289801342,29.2531781905646,1501.19499930336,1021.47868173009
2.25,2.24604766626918,15.1891557105225,36840.9343422502,45834.4218619706,29.3800208044918,1500.78249509685,1021.61498999025
2.55,2.54540090797358,14.9905608110303,36838.7763888889,46059.3395563584,29.5273057205021,1500.32165497085,1021.77137857654
2.85,2.84472511993899,14.944183530469,36844.952958979,46120.5483532716,29.5677485637605,1500.22447659713,1021.81354315524
3.15,3.14404006055265,14.9362571259946,36865.3500337562,46155.2392321719,29.5918270843505,1500.2319050092,1021.83506673719
3.45,3.44334268620934,14.9079398335681,36922.5386061431,46259.6400116427,29.6642127437807,1500.22983346582,1021.89802006652
3.75,3.74262953945937,14.8789104848262,36952.860276058,46331.3313062031,29.7132499678324,1500.19831055517,1021.94315868566
4.05,4.0419018273877,14.8489050325464,36995.9054194592,46420.2283466045,29.7744788465419,1500.17777526774,1021.99788077933
4.35,4.34115007883562,14.7335955724528,37020.0939248035,46585.3812012792,29.8842503322253,1499.93833536583,1022.10772654037
4.65,4.64036935095146,14.6326231028636,37029.5471794955,46715.9933918429,29.9702669843588,1499.7168149376,1022.19623815014
4.95,4.93957235840514,14.6040568017839,37027.9171986867,46747.6316681514,29.9907177845148,1499.653051622,1022.21923961072
5.25,5.2387695483651,14.5781934962501,37020.9372003116,46769.362027374,30.0042864890573,1499.58997674625,1022.23637749309
5.55,5.53795395512282,14.4949300236341,37024.6374294589,46872.6459412677,30.0719174678706,1499.40351242441,1022.30698347086
5.71512702753335,5.70262729052704,14.4925355911255,37004.94140625,46850.5514426447,30.0559357717211,1499.37982081456,1022.29590566186
0.15,0.149786051617515,15.9129916081622,36673.5652658684,44818.9729280907,28.7012473916547,1502.25951496586,1020.9293960846
0.45,0.449322869323714,15.7743142258639,36945.9085375545,45305.370843146,29.0393247969709,1502.2172422086,1021.22019819858
0.75,0.748808162928744,15.726903344583,36954.5225908725,45368.6869809459,29.0815553044502,1502.12131777034,1021.26419294494
1.05,1.04828154653358,15.6831764040679,36957.8548867432,45421.5454069704,29.1165364166158,1502.02852606647,1021.30181513993
1.35,1.34774479744385,15.6330025716869,36945.1039234319,45461.9417531985,29.1422472452724,1501.90451077462,1021.33369342529
1.65,1.64719710253649,15.5739850866916,36938.8263029226,45520.3330705599,29.1802201963387,1501.76645750683,1021.3768676198
1.95,1.94663505190922,15.4952979904355,36927.3980166973,45594.6737636295,29.2283320717202,1501.57745373941,1021.43201407902
2.25,2.24605606292699,15.3903299262035,36893.7718263326,45671.5405565399,29.2765758265571,1501.30455341347,1021.49281836384
2.55,2.54545038657642,15.2191316481603,36873.0284856866,45840.159862543,29.3858939287764,1500.89009381898,1021.61450932613
